CTD,20140721OOCNOCBAK
# DEPTH_TYPE   : COR 
# EVENT_CODE   : BO
NUMBER_HEADERS = 10
EXPOCODE = 74JC20140606
SECT = AR07W/OSNAP_W/AR07E/OSNAP_E/AR28
STNNBR = 234
CASTNO = 1
DATE = 20140717
TIME = 1516
LATITUDE =   56.66673
LONGITUDE =   -6.13301
DEPTH =    171
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W
DBAR, ,ITS-90, ,PSS-78, ,UMOL/KG, 
     5.0,2, 13.1134,2, 34.1855,2,   266.0,2
     7.0,2, 13.1195,2, 34.1844,2,   266.8,2
     9.0,2, 13.1152,2, 34.1837,2,   266.4,2
    11.0,2, 13.1041,2, 34.1845,2,   266.3,2
    13.0,2, 13.1030,2, 34.1848,2,   266.0,2
    15.0,2, 13.0938,2, 34.1865,2,   265.7,2
    17.0,2, 13.0788,2, 34.1894,2,   265.6,2
    19.0,2, 13.0677,2, 34.1920,2,   265.0,2
    21.0,2, 13.0639,2, 34.1933,2,   265.5,2
    23.0,2, 13.0605,2, 34.1950,2,   265.0,2
    25.0,2, 13.0609,2, 34.1949,2,   264.6,2
    27.0,2, 13.0611,2, 34.1950,2,   264.2,2
    29.0,2, 13.0614,2, 34.1952,2,   264.3,2
    31.0,2, 13.0559,2, 34.1988,2,   265.6,2
    33.0,2, 13.0564,2, 34.1985,2,   265.3,2
    35.0,2, 13.0570,2, 34.1983,2,   265.4,2
    37.0,2, 13.0556,2, 34.2005,2,   264.8,2
    39.0,2, 13.0550,2, 34.2017,2,   264.7,2
    41.0,2, 13.0549,2, 34.2022,2,   265.1,2
    43.0,2, 13.0558,2, 34.2015,2,   264.9,2
    45.0,2, 13.0572,2, 34.2003,2,   265.1,2
    47.0,2, 13.0583,2, 34.2006,2,   265.3,2
    49.0,2, 13.0589,2, 34.2005,2,   264.4,2
    51.0,2, 13.0584,2, 34.2013,2,   264.6,2
    53.0,2, 13.0581,2, 34.2023,2,   265.6,2
    55.0,2, 13.0581,2, 34.2024,2,   264.9,2
    57.0,2, 13.0584,2, 34.2023,2,   264.6,2
    59.0,2, 13.0592,2, 34.2022,2,   264.9,2
    61.0,2, 13.0596,2, 34.2026,2,   264.5,2
    63.0,2, 13.0601,2, 34.2026,2,   264.8,2
    65.0,2, 13.0611,2, 34.2029,2,   264.7,2
    67.0,2, 13.0615,2, 34.2029,2,   264.3,2
    69.0,2, 13.0616,2, 34.2030,2,   264.5,2
    71.0,2, 13.0621,2, 34.2029,2,   264.4,2
    73.0,2, 13.0630,2, 34.2027,2,   264.5,2
    75.0,2, 13.0633,2, 34.2026,2,   265.0,2
    77.0,2, 13.0630,2, 34.2030,2,   264.5,2
    79.0,2, 13.0630,2, 34.2037,2,   264.7,2
    81.0,2, 13.0627,2, 34.2048,2,   265.1,2
    83.0,2, 13.0638,2, 34.2081,2,   266.0,2
    85.0,2, 13.0628,2, 34.2101,2,   264.9,2
    87.0,2, 13.0619,2, 34.2110,2,   265.3,2
    89.0,2, 13.0615,2, 34.2114,2,   264.9,2
    91.0,2, 13.0590,2, 34.2130,2,   265.2,2
    93.0,2, 13.0543,2, 34.2155,2,   264.5,2
    95.0,2, 13.0531,2, 34.2163,2,   265.1,2
    97.0,2, 13.0527,2, 34.2170,2,   265.2,2
    99.0,2, 13.0529,2, 34.2169,2,   264.8,2
